datasetid,title,description,theme,keyword,license,language,modified,data_processed,metadata_processed,publisher,references,odi_certificate_url,records_count,attributions,source_domain,source_domain_title,source_domain_address,source_dataset,oauth_scope,dcat.created,dcat.issued,dcat.creator,dcat.contributor,dcat.accrualperiodicity,dcat.spatial,dcat.temporal,dcat.granularity,dcat.dataquality,inspire.file_identifier,inspire.hierarchy_level,inspire.hierarchy_level_name,inspire.contact_individual_name,inspire.contact_position,inspire.contact_address,inspire.contact_email,inspire.identification_purpose,inspire.extend_description,inspire.extend_bounding_box_westbound_longitude,inspire.extend_bounding_box_eastbound_longitude,inspire.extend_bounding_box_southbound_latitude,inspire.extend_bounding_box_northbound_latitude,explore.download_count
killings-by-law-enforcement-officers-in-the-usa,Killings by law enforcement officers in the USA (from 2009-01-01 to 2014-12-09),"<p>
<a href=""http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States"">http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States</a>:
</p>
<p>
	""Lists of people killed by nonmilitary law enforcement officers, whether in the line of duty or not, and regardless of reason or method. Inclusion in the lists implies neither wrongdoing nor justification on the part of the person killed or the officer involved. The listing merely documents the occurrence of a death.
</p>
<p>
	The lists below are incomplete, as the annual average number of justifiable homicides alone is estimated to be near 400. Although Congress instructed the Attorney General in 1994 to compile and publish annual statistics on police use of excessive force, this was never carried out, and the FBI does not collect these data either.""
</p>","Justice, Safety, Police, Crime","killings, law enforcement officers, USA",CC BY-SA,en,2014-12-10T13:51:32+00:00,,,Wikipedia Contributors,http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States,,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
natural-earth-us-states-provinces-1110m,Natural Earth - US States & Provinces 1:110m,"<p>Internal, first-order administrative boundaries and polygons for the United States.</p>","Spatial planning, Town planning, Buildings, Equipment, Housing","Natural Earth, State, Province, USA, Boundary",Public Domain,en,2014-12-10T14:17:09+00:00,,,Natural Earth,http://www.naturalearthdata.com/downloads/110m-cultural-vectors/110m-admin-1-states-provinces/,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
top10_nyc_christmas_scenes_en,Top 10 New York Christmas Scenes,"<p>The Holiday Season is here and the OpenDataSoft team has pulled a list of its New-York Christmas favorite scenes. From a black-and-white movie to Barney Stinson’s very personal carols, the team thought you’d like to have it. Who knows, you might need it to help you pass through the never-ending family dinners.</p><p>And because OpenDataSoft’s strong suit is helping you making the most of your data, each scene as been selected with love, picked and mapped by hand. We tracked each scene iconic location and gathered their coordinates in a nicely wrapped dataset. We uploaded it onto our Cartograph tool and wham! It is now possible to discover where your favorite bits were shot. It is fair to say that OpenDataSoft has almost invented the “organic data” label. You heard it here first. </p>","Culture, Heritage","Christmas, Holidays, Movies, Series, Scenes",CC BY-SA,en,2014-12-18T15:59:22+00:00,2015-06-01T05:20:24+00:00,2015-07-09T10:55:06+00:00,OpenDataSoft,,,10,,,,,,,,,OpenDataSoft,,,,,,,,,,,,,,,,,,,,17
top10_nyc_christmas_scenes_fr,Le Top 10 des scènes de Noël à New York,"<p>Les fêtes de fin d’années sont proches et OpenDataSoft a dressé sa liste  des meilleures scènes de Noël à New York. Du film en noir-et-blanc aux  hymnes truculents de Barney Stinson, les membres de l’équipe partagent  leurs classiques. Et qui sait, cela pourrait vous être utile lors d’un  interminable dîner en famille. </p><p>La spécialité d’OpenDataSoft  étant de vous aider à extraire le meilleur de vos données, l’équipe a  sélectionné chaque scène avec amour. Les coordonnées géographiques  principales de chaque scène ont été intégrées à un beau jeu de données  et ont été passées à la moulinette de notre Cartographe. Le résultat ?  Une carte interactive sur laquelle vous retrouverez chacune de vos  scènes favorites géo-localisée. Une telle qualité de données mériterait  presque un label « données BIO ».  </p>","Culture, Patrimoine","New York, Séries, FIlms, Noël, Vacances",CC BY-SA,fr,2014-12-19T09:44:47+00:00,2015-06-01T05:20:25+00:00,2015-06-29T14:55:04+00:00,OpenDataSoft,,,10,,,,,,,,,Open,,,,,,,,,,,,,,,,,,,,206
depenses-dassurance-maladie-hors-prestations-hospitalieres,Dépenses d'assurance maladie hors prestations hospitalières,"<p>
	Cette base de données contient l'ensemble des remboursements mensuels effectués par le régime général de l'assurance maladie (hors prestations hospitalières) par type de prestations (soins et prestations en espèces), type d'exécutant (médecins par spécialité, chirurgiens dentistes, auxiliaires médicaux, laboratoires d'analyse, pharmaciens, ...) et par type de prescripteurs. Les dépenses sont indiquées en montants remboursés et présentées au remboursement.
</p>
<p>
	Champs disponibles:
</p>
<table cellpadding=""2px"" cellspacing=""2px"" rules=""all"" style=""border: 1px solid black"">
<tbody>
<tr>
<td style=""width:200px"">
		Libellé
	</td>
<td style=""width:150px"">
		Nom technique
	</td>
<td>
		Description
	</td>
</tr>
<tr>
<td>
		Série statistique mensuelle
	</td>
<td>
		l_serie
	</td>
<td>
		Une série de la Statistique Mensuelle est un poste de dépenses obtenu par croisement de la prestation et de la spécialité exécutant. Pour ce qui concerne le médicament, un croisement est également opéré avec le taux de remboursement.
	</td>
</tr>
<tr>
<td>
		Prestation
	</td>
<td>
		l_prs_nat
	</td>
<td>
		Chaque prestation est codifiée par un code à 4 chiffres dans le SNIIRAM.  Une prestation est un acte réalisé par professionnel de santé (médécin, auxiliaire, …) ou un produit de santé (médicament, prothèse, ..) pris en charge par l'assurance maladie.  Cela peut être également un versement de prestation en espèces (indemnités journalières dans le cas d'un arrêt maladie, rente d'accident du travail, pension d'invalidité)...
	</td>
</tr>
<tr>
<td>
		Date de remboursement
	</td>
<td>
		rem_date
	</td>
<td>
		Correspond au mois et à l'année auxquels l’organisme a remboursé la prestation.
	</td>
</tr>
<tr>
<td>
		Date des soins
	</td>
<td>
		sns_date
	</td>
<td>
		Mois et année  auxquels le prestataire de soins a executé un acte ou délivré un produit.  Pour les prestations en espèces : mois et année de début de la période de versement.
	</td>
</tr>
<tr>
<td>
		Nature d'assurance
	</td>
<td>
		l_asu_nat
	</td>
<td>
		Risque au titre duquel est prise en charge la prestation: Maladie, Maternité, Accident du Travail-Maladie Professionnelle, Invalidité, Décès.
	</td>
</tr>
<tr>
<td>
		Complement d'acte
	</td>
<td>
		l_cpl_cod
	</td>
<td>
		Cette variable permet de toper les suppléments tarifés, ajouté au montant de l’acte lorsqu'il est réalisé dans un contexte spécifique ( majoration de nuit, de dimanche ou jour férié, urgence).
	</td>
</tr>
<tr>
<td>
		Taux de remboursement
	</td>
<td>
		rem_tau
	</td>
<td>
		Le taux de remboursement de la sécurité sociale est le taux sur lequel cet organisme se base pour effectuer ses remboursements. Il s'applique sur le tarif conventionnel et varie en fonction de l'acte médical et du régime obligatoire de l'assuré social, et de la situation de l'assuré.
	</td>
</tr>
<tr>
<td>
		Spécialité prescripteur
	</td>
<td>
		l_pre_spe
	</td>
<td>
		 Spécialité exercée par le médecin (généraliste, cardiologue, etc), nature d'activité des auxilaires médicaux (infirmiers, masseurs-kinésithérapeutes).
	</td>
</tr>
<tr>
<td>
		Regroupement spécialité prescripteur
	</td>
<td>
		l_pre_spe1
	</td>
<td>
		Spécialité regroupée par grande catégorie de prescripteur: médecins omnipraticiens, médecins spécialistes, chirurgiens dentiste...
	</td>
</tr>
<tr>
<td>
		Mode d'exercice prescripteur
	</td>
<td>
		l_pre_stj1
	</td>
<td>
		Statut du professionnel de santé sur sa manière d'exercer: libéral ou salarié.
	</td>
</tr>
<tr>
<td>
		Spécialité exécutant
	</td>
<td>
		l_exe_spe
	</td>
<td>
		Spécialité exercée par le médecin (généraliste, cardiologue, etc), nature d'activité des auxilaires médicaux (infirmiers, masseurs-kinésithérapeutes)...
	</td>
</tr>
<tr>
<td>
		Regroupement spécialité exécutant
	</td>
<td>
		l_exe_spe1
	</td>
<td>
		Spécialité regroupée par grande catégorie d'exécutant: médecins omnipraticiens, médecins spécialistes,… Cette notion ne concerne que les  médecins.
	</td>
</tr>
<tr>
<td>
		Mode d'exercice exécutant
	</td>
<td>
		l_exe_stj1
	</td>
<td>
		Statut du professionnel de santé sur sa manière d'exercer: libéral ou salarié.
	</td>
</tr>
<tr>
<td>
		Montant remboursé
	</td>
<td>
		rem_mon
	</td>
<td>
		Montant que l’Assurance Maladie rembourse à l’assuré : (base de remboursement * taux de remboursement).
	</td>
</tr>
<tr>
<td>
		Base de remboursement
	</td>
<td>
		rec_mon
	</td>
<td>
		La base de remboursement correspond au montant pris en considération par l’Assurance Maladie avant application du taux de remboursement. C'est le tarif conventionnel pour les Professionnels de Santé. Exemple : pour une consultation de médecin généraliste la base de remboursement est de 23€ et le taux de remboursement est de 70% (si vous avez un médecin traitant) sauf pour les personnes en affection longue durée 100%.
	</td>
</tr>
<tr>
<td>
		Dépassement d'honoraires
	</td>
<td>
		dep_mon
	</td>
<td>
		On parle de montant de dépassement lorsque les prix pratiqués par les professionnels de santé sont supérieurs aux tarifs de convention fixés pour chaque acte médical par la sécurité sociale. Les dépassements d'honoraires peuvent être pris en charge par les complémentaires santé. Cette notion ne concerne que les honoraires des médecins.
	</td>
</tr>
<tr>
<td>
		Dénombrement
	</td>
<td>
		act_dnb
	</td>
<td>
		 Une partie des actes peut être dénombrée car codifiée avec un code qui permet de connaître directement la nature exacte et le tarif de l'acte (CCAM).
	</td>
</tr>
<tr>
<td>
		Coefficient global
	</td>
<td>
		act_coe
	</td>
<td>
		 Une partie des actes de soins est décrite par
		<br>
<ul>
<li>Une lettre clé qui varie selon les professions et catégories d'actes et qui a une valeur unitaire</li>
<li>Un coefficient qui reflète la complexité de l'acte, et qui, multiplié par la valeur unitaire de la lettre clé, donne le tarif de l'acte. </li>
</ul>
		Ceci est notamment le cas des actes techniques médicaux et des actes d'auxilaires médicaux (infirmier, kiné, ...)
		<br/>
		 Par exemple, un pansement lourd exécuté par un infirmier est côté AMI 4 soit une base de remboursement de 3,15 (valeur conventionnelle AMI)*4=12,6 euros.
	</br></td>
</tr>
</tbody>
</table>",Santé,"cnam, sécurité sociale, dépenses publiques",Licence Ouverte (Etalab),fr,2014-12-22T10:20:28+00:00,,2015-07-02T12:55:05+00:00,CNAM,https://www.data.gouv.fr/fr/datasets/depenses-d-assurance-maladie-hors-prestations-hospitalieres/,,9957940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377
liste-des-conseillers-communautaires-de-saint-malo-agglomeration,Liste des conseillers Communautaires de Saint-Malo Agglomération,"<p>Liste des conseillers Communautaires, avec leurs fonctions communautaires et communales, délégations et communes d'appartenance, pour la période 2014-2020.</p>","Administration, Gouvernement, Finances publiques, Citoyenneté","conseillers communautaires, saint-malo",Licence Ouverte (Etalab),fr,2014-12-22T15:47:22+00:00,,,Saint-Malo Agglomération,https://www.data.gouv.fr/fr/datasets/liste-des-conseillers-communautaires-de-saint-malo-agglomeration-1/,,71,,,,,,,,,,,Annuelle,,,Intercommunalité (EPCI),,,,,,,,,,,,,,,1
points-dapport-volontaire0,Points d'Apport Volontaire,"<p>Localisation géographique des points d'apport volontaire, avec identification de la commune et du type de point (colonne papier ou verre, en surface ou enterrée,...)</p>",Environnement,"points d'apport volontaire, saint-malo, déchets",Licence Ouverte (Etalab),fr,2014-12-22T15:47:23+00:00,,,Saint-Malo Agglomération,https://www.data.gouv.fr/fr/datasets/points-dapport-volontaire-shp/,,274,,,,,,,,,,,Annuelle,,,Intercommunalité (EPCI),,,,,,,,,,,,,,,79
emplacement-des-arrets-de-bus-du-reseau-transport-saint-malo-agglomeration,Emplacement des Arrêts de Bus du Réseau Transport Saint-Malo Agglomération,<p>Localisation géographique des arrêts de bus du réseau de transport urbain et péri-urbain sur le territoire de l’agglomération du Pays de Saint-Malo.</p>,"Transports, Déplacements","arrêts de bus, saint-malo",Licence Ouverte (Etalab),fr,2014-12-22T15:47:24+00:00,2015-06-26T05:55:02+00:00,2015-07-20T06:55:02+00:00,Saint-Malo Agglomération,https://www.data.gouv.fr/fr/datasets/emplacement-des-arrets-de-bus-du-reseau-transport-saint-malo-agglomeration-2/,,271,,,,,,,,,,,Annuelle,,,Intercommunalité (EPCI),,,,,,,,,,,,,,,6126
donnees-sur-les-medecins-accredites,Données sur les médecins accrédités,"<p>En application de l’article L. 1414-3-2 du Code de la santé publique, l’accréditation des médecins est une démarche volontaire. C’est une démarche de gestion des risques fondée sur les programmes élaborés par les organismes agréés pour l’accréditation (OA-Accréditation) dont objectif est d’améliorer la qualité des pratiques professionnelles, de réduire le nombre et de limiter les conséquences des événements indésirables associés aux soins au bénéfice de la sécurité du patient. Elle concerne le s médecins exerçant une spécialité ou une activité dite «à risques» en établissement de santé décret n° 2006-909 du 21 juillet 2006. : gynécologie-obstétrique, anesthésie-réanimation, chirurgie, spécialités interventionnelles, échographie obstétricale, réanimation ou de soins intensifs. Pour plus d’information sur l’accréditation : <a href=""http://www.has-sante.fr/portail/jcms/c_428381/fr/mieux-connaitre-laccreditation"" style=""font-size: 14px;"">http://www.has-sante.fr/portail/jcms/c_428381/fr/mieux-connaitre-laccreditation</a></p>",Health,"Médecin, HAS, Accrédité",Licence Ouverte (Etalab),fr,2014-12-24T09:26:50+00:00,,,Haute Autorité de Santé,,,10763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
repartition-de-la-reserve-parlementaire-en-2014,Répartition de la réserve parlementaire en 2014,"<p>Répartition de la réserve parlementaire française en 2014, par député, groupe politique, type de dépense</p>","Administration, Government, Public finances, Citizenship","réserve parlementaire, député, assemblée, Assemblée nationale, parlement",Licence Ouverte (Etalab),fr,2015-02-13T08:18:51+00:00,2015-06-22T12:55:05+00:00,2015-07-15T13:55:08+00:00,Assemblée Nationale,,,13129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
contours-osm-des-cantons-electoraux-departementaux-2015,Contours OSM des cantons électoraux départementaux 2015,"<p>Contours géographiques des nouveaux cantons électoraux départementaux issu des limites communales d'OpenStreetMap et du découpage publié au Journal Officiel.</p><p>Ces données sont issues du crowdsourcing effectué par les contributeurs au projet OpenStreetMap et sont donc sous licence ODbL qui impose un partage à l'identique et la mention obligatoire d'attribution doit être ""<strong>© les contributeurs d'OpenStreetMap sous licence ODbL</strong>"" conformément à <a href=""http://osm.org/copyright"">http://osm.org/copyright</a></p><h2>Descriptif du contenu des fichiers ""cantons 2015""</h2><h3>Origine des données</h3><p>Les données proviennent du découpage communal issu de la base de données cartographiques OpenStreetMap (constituées à partir du cadastre mis à disposition par la DGFiP sur <a href=""http://cadastre.gouv.fr/"">cadastre.gouv.fr</a>) et de la lecture du Journal Officiel. Les informations sur la population légale <a href=""http://insee.fr/fr/themes/detail.asp?reg_id=0&amp;ref_id=cantons-2015"">proviennent de l'INSEE</a>.</p><p>Pour plus de détail, consultez le wiki OpenStreetMap: <a href=""http://wiki.openstreetmap.org/wiki/FR:Cantons_in_France"">http://wiki.openstreetmap.org/wiki/FR:Cantons_in_France</a></p><h3>Format</h3><p>Ces fichiers sont proposés au format shapefile (en WGS84, EPSG:4326, textes en UTF-8), ainsi que KML.</p><h3>Contenu</h3><p>Pour chaque canton, les attributs suivants sont fournis:</p><ul> <li>ref : code du canton, composé du code du département et du N° de canton (ex: 094-01, 02B-04)</li><li>nom : nom du canton figurant au JORF (source OSM)</li><li>wikipedia: lien wikipedia vers l'article du canton (source OSM)</li><li>code_dep : code INSEE du département (source INSEE)</li><li>num_canton: N° du canton dans le département (source INSEE)</li><li>nom_insee: Nom du canton dans le fichier INSEE (source INSEE)</li><li>pop_legale: population légale dans le canton selon l'INSEE</li></ul>","Administration, Gouvernement, Finances publiques, Citoyenneté","cantons, OSM, départements, élections, élections cantonales, cantonales, élections départementales",Open Database License (ODbL),fr,2015-03-02T17:32:27+00:00,,,OpenStreetMap,,,1995,,,,,,,,2015-03-01,,,,,,,,,,,,,,,,,,,,,
cantons-2015-metropole-json-simplifies,Contours OSM des cantons électoraux départementaux 2015,"<p>Contours géographiques des nouveaux cantons électoraux départementaux issu des limites communales d'OpenStreetMap et du découpage publié au Journal Officiel.</p><p>Ces données sont issues du crowdsourcing effectué par les contributeurs au projet OpenStreetMap et sont donc sous licence ODbL qui impose un partage à l'identique et la mention obligatoire d'attribution doit être ""<strong>© les contributeurs d'OpenStreetMap sous licence ODbL</strong>"" conformément à <a href=""http://osm.org/copyright"">http://osm.org/copyright</a></p><h2>Descriptif du contenu des fichiers ""cantons 2015""</h2><h3>Origine des données</h3><p>Les données proviennent du découpage communal issu de la base de données cartographiques OpenStreetMap (constituées à partir du cadastre mis à disposition par la DGFiP sur <a href=""http://cadastre.gouv.fr/"">cadastre.gouv.fr</a>) et de la lecture du Journal Officiel. Les informations sur la population légale <a href=""http://insee.fr/fr/themes/detail.asp?reg_id=0&amp;ref_id=cantons-2015"">proviennent de l'INSEE</a>.</p><p>Pour plus de détail, consultez le wiki OpenStreetMap: <a href=""http://wiki.openstreetmap.org/wiki/FR:Cantons_in_France"">http://wiki.openstreetmap.org/wiki/FR:Cantons_in_France</a></p><h3>Format</h3><p>Ces fichiers sont proposés au format shapefile (en WGS84, EPSG:4326, textes en UTF-8), ainsi que KML.</p><h3>Contenu</h3><p>Pour chaque canton, les attributs suivants sont fournis:</p><ul> <li>ref : code du canton, composé du code du département et du N° de canton (ex: 094-01, 02B-04)</li><li>nom : nom du canton figurant au JORF (source OSM)</li><li>wikipedia: lien wikipedia vers l'article du canton (source OSM)</li><li>code_dep : code INSEE du département (source INSEE)</li><li>num_canton: N° du canton dans le département (source INSEE)</li><li>nom_insee: Nom du canton dans le fichier INSEE (source INSEE)</li><li>pop_legale: population légale dans le canton selon l'INSEE</li></ul>","Administration, Gouvernement, Finances publiques, Citoyenneté","cantons, cantonales, élections départementales, élections cantonales",Open Database License (ODbL),fr,2015-03-02T18:00:48+00:00,2015-06-25T15:55:03+00:00,2015-07-17T14:55:04+00:00,OpenStreetMap,,,1995,,,,,,,,2015-03-01,,,,,,,,,,,,,,,,,,,,,167
the-deadliest-hurricanes-in-the-united-states-1900-1996,The Deadliest Hurricanes In The United States 1900-1996,"<p>This is taken from The Deadliest, Costliest, and Most Intense United States hurricanes of this century (and other frequently requested hurricane facts) [NOAA Technical Memorandum NWS TPC-1] updated in February, 1997.</p>",Environment,Hurricanes,,en,2015-03-09T10:59:03+00:00,,,,http://www.nhc.noaa.gov/pastdead.html,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
ordres_du_jour_du_conseil_general,Ordres du jour du Conseil Général,"<p>
<span style=""line-height: 1.45em;"">Ordres du jour du Conseil Général de mars 2008 à décembre 2014 par séance. <br>
<br>
<br><br/></br></br></br></span><span style=""line-height: 1.45em;"">Dans le jeu de données, les abréviations PJ, LR, A, V, VNR, DSP correspondent aux intitulés suivants : <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>PJ </strong>: projet de délibération <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>LR </strong>: Lettre rectificative <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>A </strong>: Amendement <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>V </strong>: Vœu <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>VNR </strong>: vœu non rattaché à un projet de délibération <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>DSP </strong>: Délégation de service public</span></p>",Citoyens,"délibération, assemblée, vote",,fr,2015-03-19T15:36:57+00:00,,,,,,6808,,,,,,,,2013-01-14,Ville de Paris,Ville de Paris,annuelle,,2008 - 2014,,,,,,,,,,,,,,,,
ordres_du_jour_du_conseil_municipal,Ordres du jour du Conseil Municipal,"<p>
<span style=""line-height: 1.45em;"">Ordres du jour du conseil municipal de mars 2008 à décembre 2014 par séance. <br>
<br>
<br><br/></br></br></br></span><span style=""line-height: 1.45em;"">Dans le jeu de données, les abréviations PJ, LR, A, V, VNR, DSP correspondent aux intitulés suivants : <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>PJ </strong>: projet de délibération <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>LR </strong>: Lettre rectificative <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>A </strong>: Amendement <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>V </strong>: Vœu <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>VNR </strong>: vœu non rattaché à un projet de délibération <br>
<br/></br></span><span style=""line-height: 1.45em;""><strong>DSP </strong>: Délégation de service public </span></p>",Citoyens,"délibération, aseemblée, vote",Open Database License (ODbL),fr,2015-03-19T15:39:09+00:00,,,,,,32167,,,,,,,,2013-01-14,Ville de Paris,Ville de Paris,annuelle,,2008 - 2014,,,,,,,,,,,,,,,,
tous-les-documents-des-bibliotheques-de-pret,Tous les documents des bibliothèques de prêt (février 2015),"<p>Toutes les collections des bibliothèques de prêt, telles qu'elles étaient en février 2015. Plus de 750 000 titres sont référencés. Attention les données peuvent avoir évolué depuis, elles ne sont pas dynamiques</p><p>Le jeu de données comprend de nombreuses données sauf les résumés et les mots clés sujet</p>",Culture,"bibliothèques, ouvrages, DVD, CD, Livres, discothèques, vidéothèques, médiathèques, revues",Open Database License (ODbL),fr,2015-03-25T19:39:22+00:00,2015-06-22T13:55:06+00:00,2015-07-15T20:55:01+00:00,Réseau des bibliothèques de prêt de la Ville de Paris,,,766108,,,,,,,2014-05-13,2014-05-13,Mairie de Paris/Direction des Affaires Culturelles/Service informatique des bibliothèques,,Annuel,,jusqu'en février 2015,,,,,,,,,,,,,,,,19
plan_de_l_hemicycle_du_conseil_de_paris,Plan de l'hémicycle du conseil de Paris,"<p>
<span style=""line-height: 1.45em;"">Le fichier CSV regroupe tous les membres du conseil de Paris ainsi que leur emplacement dans l'hémicycle, leur partie politique et d'autres informations.<br>
<br>
</br></br></span><span style=""line-height: 1.45em;"">Le fichier PDF contient une photo de tous les membres à leur place respective dans l'hémicycle.</span>
</p>",Citoyens,"hémicycle, conseil de Paris, partie poitique, place, paris",Open Data Paris,fr,2015-03-30T11:25:01+00:00,,,,,,326,,,,,,,,2012-10-24,Ville de Paris,Ville de Paris,,,,,,,,,,,,,,,,,,,
european-train-stations,European train stations,"<h2>Capitaine Train train stations data, released under the ODbL license.</h2>
<p>Up to date informations on <a href=""https://github.com/capitainetrain/stations/blob/master/README.md"">the original repository</a>
<h3>Description</h3>
<p>Capitaine Train sells train tickets for many operators across Europe.</p>
<p>This file contains all informations we use to identify a station in any system of the carriers.</p>
<p>If you want to contribute to this database, please read <a href=""https://github.com/capitainetrain/stations/blob/master/CONTRIBUTING.md"">CONTRIBUTING.md</a>.</p>
<h3>Licence</h3>
<p>The file stations.csv is distributed under the ODbL licence (see LICENCE.txt). In short, any modification to this data source must be published.</p>
<p>Data sources include Openstreetmap and SNCF OpenData that are under ODbL or compatible and a lot of sweat, tears and blood.</p>
<h3>The data</h3>
<p>
The file stations.csv contains all our data representing stations. Here is an explanation of the columns:

    <ul>
<li>id: our internal unique identifier</li>
<li>name: the name of the station as it is locally known (see info_* for translations)</li>
<li>slug: it is guaranteed to be unique across all the suggestable stations (see is_suggestable)</li>
<li>uic: the UIC code of the station</li>
<li>uic8_sncf: the SNCF sometimes uses an UIC code with 8 digits instead of 7. The last digit is a checksum</li>
<li>latlong: coordinates as a couple of decimals values</li>
<li>parent_station_id: a station might belong to a meta station whose id is this value. For instance Paris Gare d’Austerlitz belongs to the metastation Paris</li>
<li>is_city, is_main_station: this value is not reliable</li>
<li>country: 2 letter ISO code</li>
<li>timezone: as [Continent]/[country] ISO code</li>
<li>is_suggestable: can the user input this station</li>
<li>[carrier]_id: the id of the station as it is known by the carrier</li>
<li>[carrier]_is_enabled: can a ticket be booked to/from the station through that carrier</li>
<li>info:[lang]: extra information that is useful in the specific language</li>
<li>same_as: in some systems, a station can be split in two, with two id. If this value is set, the station pointed by that value should be considered as the actual station</li>
</ul>
</p></p>","Transport, Movements, Spatial planning, Town planning, Buildings, Equipment, Housing","train, station, train station, Europe, Mobility",Open Database License (ODbL),en,2015-04-23T11:40:30+00:00,2015-06-25T06:55:10+00:00,2015-07-06T12:55:04+00:00,Capitaine Train,https://github.com/capitainetrain/stations,,21461,,,,,,,2015-04-23,2015-04-23,Capitaine Train,,,,,,,,,,,,,,,,,,,,24
fromagescsv-fromagescsv,Liste des Fromages Français,<p>Ce jeu de données réunit la liste de 338 spécialités fromagères françaises. </p><p>Le jeu de données comprend :</p><ul><li>le nom du fromage</li><li> le département de fabrication</li><li>l'URL de la page Wikipédia française</li><li>l'URL de la page Wikipédia anglaise quand elle existait</li><li>la photographie quand elle existait</li><li>les coordonnées géographiques du département de fabrication</li></ul>,"Culture, Heritage","Fromage, Carte, Gastronomie",CC BY-SA,fr,2015-04-23T12:13:46+00:00,2015-06-25T09:55:02+00:00,2015-07-01T23:55:03+00:00,OpenDataSoft,http://fr.wikipedia.org/wiki/Liste_des_sp%C3%A9cialit%C3%A9s_r%C3%A9gionales_fran%C3%A7aises_de_fromages,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
frenchcheese,List of French Cheese,"<p>This dataset gathers the list of all 338 French cheese. </p><p>In this dataset, you will find for each cheese: </p><ul>
<li>its name</li><li>its department of production</li><li>the French Wikipedia page URL</li><li>the English Wikipedia page URL</li><li>its picture whenever available</li><li>the geographic coordinates of the department of production</li></ul>","Culture, Heritage","cheese, France",CC BY-SA,en,2015-04-30T13:25:52+00:00,2015-06-23T15:55:03+00:00,2015-07-13T11:55:05+00:00,OpenDataSoft,http://fr.wikipedia.org/wiki/Liste_des_sp%C3%A9cialit%C3%A9s_r%C3%A9gionales_fran%C3%A7aises_de_fromages,,338,,,,,,,,,OpenDataSoft,,,,,,,,,,,,,,,,,,,,29
contours-iris-2014,Contours Iris - édition 2014,"<p>Coédition INSEE et IGN, Contours Iris® est un fond numérisé des Iris définis par l'INSEE pour les besoins des recensements sur l'ensemble des communes de plus de 10 000 habitants et la plupart des communes de 5 000 à 10 000 habitants.</p>",,"Limites territoriales, organisation administrative, distribution démographique, unités administratives, statistique",Licence Ouverte 1.0 (Etalab),fr,2015-05-13T13:29:37+00:00,,,IGN,http://professionnels.ign.fr/contoursiris,,50880,,,,,,,,2015-04-27,Institut national de l'information géographique et forestière (IGN-F),,,,,,,,,,,,,,,,,,,,2
population-projection-in-helsinki-and-the-helsinki-region-by-age-and-sex,Population Projection in Helsinki and the Helsinki region by age and sex,"<p>This dataset is a projection of the Helsinki and Helsinki Region population for the years 2014-2050, broken down further by age and sex. This data was taken from the Helsinki Region Infoshare website, and the original can be found here: http://www.hri.fi/fi/dataset/helsingin-ja-helsingin-seudun-vaestoennuste-sukupuolen-ja-ian-mukaan</p>","Administration, Government, Public finances, Citizenship, Spatial planning, Town planning, Buildings, Equipment, Housing","Population, Age, Sex, Urban Statistics , Regional Statistics , Helsinki, Helsinki Region, Population Projections",CC BY,en,2015-05-26T07:17:58+00:00,,,Helsinki Urban Facts,http://www.hri.fi/fi/dataset/helsingin-ja-helsingin-seudun-vaestoennuste-sukupuolen-ja-ian-mukaan,,342,Helsinki Urban Facts,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
traffic-accidents-in-helsinki,Traffic accidents in Helsinki,"<p>Traffic accidents occurred in Helsinki venues, by severity and accident types.</p>","Spatial planning, Town planning, Buildings, Equipment, Housing, Transport, Movements, Justice, Safety, Police, Crime","accidents, accident, traffic, pedestrian, bicycle, bike, car, Helsinki, Finland",CC BY,en,2015-05-26T08:02:38+00:00,2015-06-04T08:55:02+00:00,2015-07-10T05:55:03+00:00,City of Helsinki City Planning Department,http://www.hri.fi/en/dataset/liikenneonnettomuudet-helsingissa,,37528,"City of Helsinki Planning Department, City of Helsinki Transport Planning Department",,,,,,,,,,,,,,,,,,,,,,,,,,,,10
